jurisdiction,booking_charge_desc,seriousness,category,type,notes,rcw,src,,,,,
pierce,EXTOR 2,,class C felony,violent,,9A.56.130,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.130,,,,,
pierce,FAIL REGIS S/O,,class C felony,public order,,9A.44.132,http://app.leg.wa.gov/rcw/default.aspx?cite=9A.44.132,,,,,
pierce,FAIL RTN W/R,,unknown,public order,unable to figure out what w/r is after the failure to return ,,,,,,,
pierce,FAIL TO CARRY C/S IN ORIG CONTAINER,,gross misdemeanor,drug,not sure,69.5,http://app.leg.wa.gov/RCW/default.aspx?cite=69.50&full=true,,,,,
pierce,FAIL TO COMPLY,,misdemeanor,public order,assumed this was complying w/ Police Officer ,46.61.022,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.022,,,,,
pierce,FAIL TO DISPERSE,,misdemeanor,public order,,9A.84.020,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.84.020,,,,,
pierce,FAIL TO OBEY,,misdemeanor,public order,asame as failure to comply,46.61.022,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.022,,,,,
pierce,FAIL TO SECURE LOAD,,gross misdemeanor,public order,"1st degree is gross misdemeanor, 2nd degree is just misdemeanor",46.61.655,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.655,,,,,
pierce,FAIL TO STOP AND GIVE INFO,,misdemeanor,public order,contained within failure to obey/comply,46.61.022,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.022,,,,,
pierce,FAIL TO SURRENDER LICENSE TO DOL,,misdemeanor,public order,,46.29.610,https://app.leg.wa.gov/rcw/default.aspx?cite=46.29.610,,,,,
pierce,FAIL TRANS TITLE W/I 45 DYS,,misdemeanor,public order,,https://caselaw.findlaw.com/wa-supreme-court/1389351.html,https://caselaw.findlaw.com/wa-supreme-court/1389351.html,,,,,
pierce,FAIL YLD EMERG VEH,,gross misdemeanor,public order,,46.61.212,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.212,,,,,
pierce,FAILURE TO HAVE IGNITION INTERLOCK,,gross misdemeanor,public order,,46.20.740,http://app.leg.wa.gov/rcw/default.aspx?cite=46.20.740,,,,,
pierce,FAILURE TO INITIALLY REGISTER VEHICLE,,civil infraction,public order,only a misdemeanor if the person registered car in other state to avoid fees ,46.16A.030,http://app.leg.wa.gov/rcw/default.aspx?cite=46.16A.030,,,,,
