,jurisdiction,booking_charge_desc,charge_count,seriousness,category,type,magda notes,notes,rcw,src
1688,pierce,VIOL N/C ORDER,20,,gross misdemeanor,public order,could be class C,,26.50.110,http://app.leg.wa.gov/rcw/default.aspx?cite=26.50.110
1696,pierce,VIOL PROT ORD - NON DV,20,,gross misdemeanor,public order,,,26.50.110,http://app.leg.wa.gov/rcw/default.aspx?cite=26.50.110
131,pierce,ATT MURDER 1,19,,class A felony,violent,,see criminal attempt RCW,9A.28.020,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.28.020
306,pierce,CRIMINAL ATTEMPT,19,,other,other,,depends on nature of crime,9A.28.040,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.28.040
376,pierce,DISCH FIREARM,19,,gross misdemeanor,public order,,,9.41.230,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.230
989,pierce,OBSTR PO /DV,19,,gross misdemeanor,public order,,,9A.76.020,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.76.020
1682,pierce,VIOL CIV ANTI-HAR ORDER,19,,gross misdemeanor,public order,,,26.50.110,http://app.leg.wa.gov/rcw/default.aspx?cite=26.50.110
1721,pierce,VOYEURISM -1 (C),19,,class C felony,sex,,,9A.44.115,http://apps.leg.wa.gov/RCW/default.aspx?cite=9A.44.115
140,pierce,BAIL JUMPING,18,,other,public order,,depends on crime person jumped bail for,9A.76.170,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.76.170
790,pierce,INTERF W/REPORT / DV,18,,gross misdemeanor,public order,,,9A.36.150,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.36.150
940,pierce,MINOR INTOX IN PUB,18,,gross misdemeanor,public order,,,66.44.270,http://apps.leg.wa.gov/rcw/default.aspx?cite=66.44.270
1152,pierce,POSSESSION OF UNLAWFUL FIREARMS,18,,class B/C felony,public order,,class of felony depends on 1st or 2nd degree,9.41.040,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.040
1292,pierce,RESIST ARR /DV,18,,misdemeanor,public order,,,9A.76.040,http://apps.leg.wa.gov/rcw/default.aspx?cite=9A.76.040
1315,pierce,RETAIL THFT W/EXT CIRCUMSTANCES 1,18,,class B felony,property,,,9A.56.360,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.360
33,pierce,ANTI-HARAS /DV,17,,gross misdemeanor,public order,,can be class C felony depending on circumstances,26.50.110,http://app.leg.wa.gov/rcw/default.aspx?cite=26.50.110
229,pierce,COMMSEXABUSEMINOR,17,,class B felony,sex,,,9.68A.100,http://app.leg.wa.gov/rcw/default.aspx?cite=9.68A.100
551,pierce,FAIL TRANS TITLE W/I 45 DYS,17,,misdemeanor,public order,,,https://caselaw.findlaw.com/wa-supreme-court/1389351.html,https://caselaw.findlaw.com/wa-supreme-court/1389351.html
1155,pierce,PRESC FORGERY,17,,class C felony,public order,,,69.50.403,https://app.leg.wa.gov/rcw/default.aspx?cite=69.50.403
604,pierce,FEL VEHICLE PROWL,16,,class C felony,property,vehicle prowl is usually a simple or gross misd. ,,9A.52.095,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.52.095
808,pierce,INTIM WPN /DV,16,,gross misdemeanor,violent,,,9.41.280,http://apps.leg.wa.gov/RCW/default.aspx?cite=9.41.280
1456,pierce,THEFT W/INTENT RESELL 2,16,,class C felony,property,,,9A.56.340,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.340
1744,pierce,WEAPONS-SELL/MAKE/BUY/POSSESS,16,,unknown,public order,,no charge found,9.41.040,http://app.leg.wa.gov/RCW/default.aspx?cite=9.41.040
