booking_charge_desc,seriousness,category,type,notes,src,,,,,
DUI W/ PRIOR CONVICTION,,class B felony,public order,drug?,http://app.leg.wa.gov/rcw/default.aspx?cite=46.61.502,,,,,
DUI WITH PRIOR CONVICTION,,class B felony,public order,drug?,http://app.leg.wa.gov/rcw/default.aspx?cite=46.61.502,,,,,
DUTY IF INJURY OCCURS - VEH ACC,,class C felony,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=46.52.020,,,,,
DUTY IN CASE OF DEATH - VEH ACC,,class B felony,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=46.52.020,,,,,
DUTY ON STRIKING PROPERTY,,misdemeanor,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=46.52.010,,,,,
DUTY TO OBEY LAW ENFORCEMENT OFC,,misdemeanor,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.022,,,,,
DV CT ORD VIO 2X CONVICTIONS,,class C felony,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=26.50.110,,,,,
DWI,,gross misdemeanor,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=46.61.502,,,,,
DWLS/DWLR,,misdemeanor,public order,can by gross misdemeanor,http://app.leg.wa.gov/rcw/default.aspx?cite=46.20.342,,,,,
DWLS/R 1ST/2ND,,gross misdemeanor,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=46.20.342,,,,,
ENDANG W/CONTR SUB,,class B felony,drug,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.42.100,,,,,
ENTRY ERROR,,other,other,,,,,,,
ESCAPE 1,,class B felony,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.76.110,,,,,
ESCAPE 2,,class C felony,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=9A.76.120,,,,,
ESCAPE 3,,misdemeanor,public order,can be gross misdemeanor or class C felony if priors,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.76.130,,,,,
ESCAPE COMMUNITY CUSTODY,,class C felony,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=72.09.310,,,,,
ESCAPE FROM CUSTODY,,class C felony,public order,"same as Escape 1-3, could also be class B",https://app.leg.wa.gov/rcw/default.aspx?cite=9A.76.110,,,,,
EXPOSE MINOR TO DV,,gross misdemeanor,public order,Auburn WA Statute ,http://www.codepublishing.com/WA/Auburn/html/Auburn09/Auburn0926.html,,,,,
EXTOR 1,,class B felony,violent,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.120,,,,,
EXTOR 2,,class C felony,violent,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.130,,,,,
FAIL REGIS S/O,,class C felony,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=9A.44.132,,,,,
FAIL RTN W/R,,other,public order,unable to figure out what w/r is after the failure to return ,,,,,,
FAIL TO COMPLY,,misdemeanor,public order,assumed this was complying w/ Police Officer ,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.022,,,,,
FAIL TO OBEY,,misdemeanor,public order,asame as failure to comply,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.022,,,,,
FAIL TO SECURE LOAD,,gross misdemeanor,public order,"1st degree is gross misdemeanor, 2nd degree is just misdemeanor",https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.655,,,,,
FAIL TO STOP AND GIVE INFO,,misdemeanor,public order,contained within failure to obey/comply,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.022,,,,,
FAIL TRANS TITLE W/I 45 DYS,,misdemeanor,public order,,https://caselaw.findlaw.com/wa-supreme-court/1389351.html,,,,,
FAIL YLD EMERG VEH,,gross misdemeanor,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.212,,,,,
FAILURE TO HAVE IGNITION INTERLOCK,,gross misdemeanor,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=46.20.740,,,,,
FAILURE TO INITIALLY REGISTER VEHICLE,,civil infraction,public order,only a misdemeanor if the person registered car in other state to avoid fees ,http://app.leg.wa.gov/rcw/default.aspx?cite=46.16A.030,,,,,
FAILURE TO OBEY FLAGMAN,,misdemeanor,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.015,,,,,
FAILURE TO OBEY POLICE,,misdemeanor,public order,same as above,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.015,,,,,
FALSE IDENTIFICATION,,misdemeanor,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=46.20.0921,,,,,
FALSE INFO,,gross misdemeanor,public order,,http://apps.leg.wa.gov/rcw/default.aspx?cite=77.15.270,,,,,
FALSE INS CLAIM,,gross misdemeanor,public order,if claim is above $1500 it is class C felony ,https://app.leg.wa.gov/rcw/default.aspx?cite=48.30.230,,,,,
FALSE REPORT OF CRIME,,gross misdemeanor,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.84.040,,,,,
FALSE REPORT,,gross misdemeanor,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.84.040,,,,,
FALSE RPT,,gross misdemeanor,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.84.040,,,,,
FALSE STATEMENT TO PUB SERVANT,,gross misdemeanor,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.76.175,,,,,
FAMILY ABANDONMENT,,class C felony,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=26.20.030,,,,,
